AD Russell,174.00
LS Livingstone,165.60
SP Narine,159.69
GJ Maxwell,157.62
N Pooran,156.79
V Sehwag,155.44
SO Hetmyer,152.08
AB de Villiers,151.68
CH Gayle,148.96
YBK Jaiswal,148.73
JC Buttler,148.32
RR Pant,147.96
KA Pollard,147.32
HH Pandya,145.86
PP Shaw,145.78
NT Tilak Varma,144.53
ST Jayasuriya,144.36
SA Yadav,143.31
MM Ali,143.01
YK Pathan,142.97
JM Bairstow,142.65
RK Singh,142.15
JA Morkel,141.98
S Dube,141.79
DP Conway,141.28
CA Lynn,140.63
MP Stoinis,140.62
DA Warner,139.91
RA Tripathi,138.99
DA Miller,138.39
AC Gilchrist,138.39
Harbhajan Singh,137.91
SR Watson,137.91
ML Hayden,137.51
Abhishek Sharma,137.38
SV Samson,137.19
SK Raina,136.73
MS Dhoni,135.91
RD Gaikwad,135.52
N Rana,135.24
DR Smith,135.20
KP Pietersen,134.72
KL Rahul,134.42
Ishan Kishan,134.25
Q de Kock,134.21
F du Plessis,134.14
Shubman Gill,134.07
BA Stokes,133.95
MA Agarwal,133.65
KH Pandya,133.39
SE Marsh,132.74
KD Karthik,132.70
R Tewatia,132.42
BB McCullum,131.74
AK Markram,131.35
V Shankar,131.13
AR Patel,130.81
M Vohra,130.63
RV Uthappa,130.35
VR Iyer,130.24
RG Sharma,130.04
V Kohli,130.02
A Symonds,129.86
Yuvraj Singh,129.71
DJ Bravo,129.56
STR Binny,128.84
DJ Hooda,128.65
RA Jadeja,128.61
AJ Finch,128.20
SPD Smith,128.09
WP Saha,128.05
KK Nair,127.75
AT Rayudu,127.54
S Dhawan,127.17
MC Henriques,126.90
LMP Simmons,126.64
CL White,126.35
KS Williamson,126.03
AD Mathews,125.91
D Padikkal,125.39
SS Iyer,125.38
BJ Hodge,125.22
Shakib Al Hasan,124.48
JP Duminy,124.02
G Gambhir,123.88
LRPL Taylor,123.72
AM Rahane,123.42
DPMD Jayawardene,123.25
KM Jadhav,123.13
DJ Hussey,122.97
Mandeep Singh,122.91
MEK Hussey,122.64
EJG Morgan,122.60
GJ Bailey,121.87
M Vijay,121.87
KC Sangakkara,121.19
MK Pandey,120.96
PA Patel,120.78
IK Pathan,120.40
SS Tiwary,120.09
