CH Gayle,357
RG Sharma,257
AB de Villiers,251
MS Dhoni,239
V Kohli,234
DA Warner,226
KA Pollard,223
SK Raina,203
AD Russell,193
SR Watson,190
SV Samson,182
RV Uthappa,182
AT Rayudu,173
KL Rahul,168
GJ Maxwell,158
YK Pathan,158
JC Buttler,149
Yuvraj Singh,149
S Dhawan,148
F du Plessis,145
KD Karthik,139
N Rana,131
BB McCullum,130
RR Pant,129
DA Miller,126
HH Pandya,125
DR Smith,117
Q de Kock,114
SA Yadav,112
MK Pandey,108
V Sehwag,106
Ishan Kishan,103
SS Iyer,99
RA Jadeja,99
MA Agarwal,97
AM Rahane,96
AC Gilchrist,92
N Pooran,91
M Vijay,91
WP Saha,84
Shubman Gill,80
JP Duminy,79
NV Ojha,79
SE Marsh,78
RA Tripathi,78
AJ Finch,78
SO Hetmyer,75
MP Stoinis,75
S Dube,73
RD Gaikwad,73
AR Patel,69
CA Lynn,66
DJ Bravo,66
EJG Morgan,64
KS Williamson,64
SP Narine,64
DJ Hussey,60
SPD Smith,60
LS Livingstone,59
MM Ali,59
G Gambhir,59
DJ Hooda,58
PP Shaw,56
KH Pandya,56
JM Bairstow,55
JA Morkel,55
MEK Hussey,52
SS Tiwary,50
PA Patel,49
YBK Jaiswal,48
LRPL Taylor,46
LMP Simmons,44
ML Hayden,44
JH Kallis,44
M Vohra,43
V Shankar,43
BJ Hodge,43
VR Iyer,42
SC Ganguly,42
R Tewatia,42
D Padikkal,42
Harbhajan Singh,42
A Symonds,41
KP Pietersen,40
KM Jadhav,40
MK Tiwary,40
NT Tilak Varma,39
ST Jayasuriya,39
KK Nair,39
DPMD Jayawardene,39
RK Singh,38
Mandeep Singh,38
Y Venugopal Rao,37
IK Pathan,37
E Lewis,36
CL White,36
MR Marsh,35
CH Morris,35
Rashid Khan,35
STR Binny,35
